1002|05058202, 05131602
1003|04014204, 04084606, 04140901, 05050103, 05114101, 05117901, 05118001, 05142301, 07063304
1004|05139901, 06679401
1005|03041103, 04118201
1006|05131401, 05031901
1007|04105801, 04159401, 06650010
1008|05039902, 05224202
1009|04081502, 06052902
1010|04081002, 06053102
1011|05124702, 05023302, 06051202
1012|04082202, 06052202
1013|04081402, 06053002
1014|04082102, 06052502
1015|04082002, 06052702, 09003702
1016|05076702, 06052002
1017|05230807, 07071205
1018|06773606, 09306001
1019|05026001, 06750602
1020|04019602, 04019801
1021|04019402, 04019502
1022|03057101, 03057301, 04012401, 04012601, 04012701, 04012801, 04136302
1023|07025201, 05010302
1024|04017407, 04011209, 04014101
1025|04015901, 04017301, 04017506, 05198205
1026|04017412, 04014108
1027|03057002, 04012501, 07027006
1028|03059001, 04013002, 05000203, 04011903, 04014006
1029|04013001, 05000202, 04011902, 04014005, 07021701
1030|04014707, 04015607
1031|04011506, 09003501
1032|04015102, 04017104, 08046502
1033|04001304, 04016307, 04156204
1034|04084104, 04086604
1035|04019403, 04019503, 10007902
1036|05002105, 05109904, 06750004
1037|04086602, 04084102, 07027003
1038|04017413, 04014109
1039|03015303, 03046603
1040|05000204, 04011904, 04014007
1041|03002302, 03002401, 03002501, 03017202, 03026701, 03026801, 03031901, 03032001, 03036503
1042|03024602, 03025004, 03026503
1043|03024603, 03025003
1044|03024604, 03026505
1045|03015304, 04001305, 04156205
1046|04015801, 05004713
1047|03015404, 03049305, 07023706
1048|03000605, 03000703, 03015403, 03049303, 03050003, 04018207, 08056702, 04014104, 04018303, 04018505, 05198207
1049|04013101, 04013501, 09055102
1050|04000709, 04014710, 04015610
1051|04016702, 04016901
1052|03046602, 04014205, 04015101, 04017102, 04017509, 08046501
1053|04015103, 04017103, 08046503
1054|03039501, 03047901, 04014802, 09004504
1055|04019101, 04014105
1056|04017507, 04014705, 04015605
1057|04014706, 04015606
1058|04016501, 04016601, 04016801, 06653103
1059|03054402, 03054502, 04164903, 06624502, 07004006, 07010006
1060|04014704, 04015604, 04015706, 09003402
1061|04017601, 04017701, 04018101
1062|04010601, 04011101, 04011301
1063|04011908, 04014011
1064|04014404, 04015309
1065|04001102, 04012101, 04013601, 05000703, 09055101
1066|04010506, 04011801, 05013203, 05013803
1067|03006201, 04010802
1068|04084103, 04086603
1069|04014703, 04015603, 04015703
1070|03001901, 03002001, 03002101
1071|03020001, 03020101
1072|04013003, 04011910, 04014012, 07021702
1073|03015302, 04001303, 04016306, 04156203
1074|04018401, 04014708, 04015608
1075|03016101, 03016201, 03051601
